314883, 6, 10, 28, 3884.25, 16, 2
286902, 6, 10, 28, 3884.25, 16, 2
278728, 6, 10, 28, 3884.25, 16, 2
274893, 6, 10, 28, 3884.25, 16, 2
304218, 6, 10, 28, 3884.25, 16, 2
275599, 6, 10, 28, 3884.25, 16, 2
275014, 6, 10, 28, 3884.25, 16, 2
275047, 6, 10, 28, 3884.25, 16, 2
275478, 6, 10, 28, 3884.25, 16, 2
275131, 6, 10, 28, 3884.25, 16, 2
275040, 6, 10, 28, 3884.25, 16, 2
274984, 6, 10, 28, 3884.25, 16, 2
275002, 6, 10, 28, 3884.25, 16, 2
275024, 6, 10, 28, 3884.25, 16, 2
275039, 6, 10, 28, 3884.25, 16, 2
275004, 6, 10, 28, 3884.25, 16, 2
275021, 6, 10, 28, 3884.25, 16, 2
294628, 6, 10, 28, 3884.25, 16, 2
275179, 6, 10, 28, 3884.25, 16, 2
275124, 6, 10, 28, 3884.25, 16, 2
275145, 6, 10, 28, 3884.25, 16, 2
275135, 6, 10, 28, 3884.25, 16, 2
275168, 6, 10, 28, 3884.25, 16, 2
275160, 6, 10, 28, 3884.25, 16, 2
275222, 6, 10, 28, 3884.25, 16, 2
275146, 6, 10, 28, 3884.25, 16, 2
275164, 6, 10, 28, 3884.25, 16, 2
275137, 6, 10, 28, 3884.25, 16, 2
275145, 6, 10, 28, 3884.25, 16, 2
275171, 6, 10, 28, 3884.25, 16, 2
130423, 5, 7, 20, 2858.63, 12, 2
122467, 5, 7, 20, 2858.63, 12, 2
160426, 5, 7, 20, 2858.63, 12, 2
118295, 5, 7, 20, 2858.63, 12, 2
117849, 5, 7, 20, 2858.63, 12, 2
117746, 5, 7, 20, 2858.63, 12, 2
117827, 5, 7, 20, 2858.63, 12, 2
117742, 5, 7, 20, 2858.63, 12, 2
117823, 5, 7, 20, 2858.63, 12, 2
117742, 5, 7, 20, 2858.63, 12, 2
117909, 5, 7, 20, 2858.63, 12, 2
117777, 5, 7, 20, 2858.63, 12, 2
117851, 5, 7, 20, 2858.63, 12, 2
117728, 5, 7, 20, 2858.63, 12, 2
